venue_id_ibdb,venue_id_wikidata,venue_name_ibdb,venue_address_ibdb_googlezip,venue_lifecycle_ibdb,venue_status_ibdb,file_id_hopper,event_title_hopper,event_title_ibdb,production_id_ibdb,production_id_wikidata,show_id_ibdb,show_id_wikidata,writer_name_ibdb,writer_id_ibdb,writer_id_wikidata,event_category_ibdb,event_year_hopper,event_month_hopper,event_date_hopper,scope_content_hopper,note_hopper
1016,NULL,48th Street Theatre,"157 W 48th St, New York, NY 10036",DEMOLISHED,1955,EJHA.0773,The Squall,The Squall,8370,NULL,8256,NULL,Jean Bart,6669,NULL,"Play, Drama, Original, Broadway",1926,11,29,Monday Evening - Second Balcony - $1.10 - B 15/13 - Edward Hopper handwritten play title verso.,NULL
1035,NULL,Alvin Theatre,"250 W 52nd St, New York, NY 10019",OPEN,Neil Simon Theatre,EJHA.0844,Wonder Boy,Wonder Boy,11431,NULL,9457,NULL,Edward Chodorov,5264,NULL,"Play, Comedy, Original, Broadway",1931,11,9,Monday Evening - Balcony - $2.00 - D 120/118 - Edward Hopper handwritten play title verso.,NULL
1036,NULL,Ambassador Theatre,"219 W 49th St, New York, NY 10019",OPEN,Ambassador Theatre,EJHA.0837,Death Takes a Holiday,Death Takes a Holiday,11322,NULL,2993,NULL,Alberto Casella,3987,NULL,"Play, Drama, Fantasy, Revival, Broadway",1931,2,18,Wednesday Evening - Balcony - $1.00 - C N 2 - Edward Hopper handwritten play title verso.,NULL
1360,NULL,Belasco Theatre,"111 W 44th St, New York, NY 10036",OPEN,Belasco Theatre,EJHA.0848,Distant Drums,Distant Drums,7891,NULL,3088,NULL,Dan Totheroh,4951,NULL,"Play, Drama, Original, Broadway",1932,2,1,Monday Evening - First Balcony - $1.50 - G 106/105 - Edward Hopper handwritten play title verso.,NULL
1360,NULL,Belasco Theatre,"111 W 44th St, New York, NY 10036",OPEN,Belasco Theatre,EJHA.0851,The Truth About Blayds,The Truth About Blayds,11528,NULL,8913,NULL,A. A. Milne,3815,NULL,"Play, Comedy, Tragedy, Revival, Broadway",1932,4,26,Tuesday Evening - Second Balcony - $1.00 - A 6/8 - Edward Hopper handwritten play title verso.,NULL
1360,NULL,Belasco Theatre,"111 W 44th St, New York, NY 10036",OPEN,Belasco Theatre,EJHA.0876,Dead End,Dead End,12012,NULL,2969,NULL,Sidney Kingsley,15321,NULL,"Play, Drama, Original, Broadway",1935,11,26,Tuesday Evening - Second Balcony - $1.10 - F 23/25 - Edward Hopper handwritten play title verso.,NULL
1069,NULL,Biltmore Theatre,"261 W 47th St, New York, NY 10036",OPEN,Samuel J. Friedman Theatre,EJHA.0786,The Barker,The Barker,10209,NULL,1846,NULL,Kenyon Nicholson,7087,NULL,"Play, Original",1927,4,27,Wednesday Evening - Balcony - $1.10 - Right J 1/2 - Edward Hopper handwritten play title verso.,NULL
1069,NULL,Biltmore Theatre,"261 W 47th St, New York, NY 10036",OPEN,Samuel J. Friedman Theatre,EJHA.0871,Crime & Punishment,Crime and Punishment,7933,NULL,2818,NULL,Fyodor Mikhaylovitch Dostoyevsky,5719,NULL,"Play, Drama, Original, Broadway",1935,1,19,Saturday Evening - Orchestra - $? - Left BB 3/4 - Edward Hopper handwritten play title verso.,NULL
1003,NULL,Civic Repertory Theatre,"107 W 14th St, New York, NY 10011",DEMOLISHED,1938,EJHA.0784,Cradle Song,The Cradle Song ,11156,NULL,2802,NULL,Gregorio Martinez Sierra,5731,NULL,"Play, Comedy, Revival, Broadway",1927,3,16,Wednesday Matinee - Gallery - $.50 - A 11/13 - B 11 - Edward Hopper handwritten play title verso.,NULL
1003,NULL,Civic Repertory Theatre,"107 W 14th St, New York, NY 10011",DEMOLISHED,1938,EJHA.0791,Three Sisters,The Three Sisters ,10150,NULL,8681,NULL,Anton Chekhov,4213,NULL,"Play, Drama, Revival, Broadway",1927,10,27,Thursday Evening - Balcony - $1.10 - F 103/104 - Edward Hopper handwritten play title verso.,NULL
1003,NULL,Civic Repertory Theatre,"107 W 14th St, New York, NY 10011",DEMOLISHED,1938,EJHA.0810,Cherry Orchard,The Cherry Orchard ,10932,NULL,2529,NULL,Anton Chekhov,4213,NULL,"Play, Drama, Revival, Broadway",1929,1,11,Friday Evening - Gallery - $.50 - A 5/7 - Edward Hopper handwritten play title verso.,NULL
1003,NULL,Civic Repertory Theatre,"107 W 14th St, New York, NY 10011",DEMOLISHED,1938,EJHA.0857,Alice in Wonderland,Alice in Wonderland,11693,NULL,1441,NULL,Eva Le Gallienne,5481,NULL,"Play, Fantasy, Play with music, Original, Broadway",1932,12,20,Tuesday Evening - Balcony - $1.10 E 7/5 - Edward Hopper handwritten play title verso.,NULL
1025,NULL,Coburn Theatre,"22 W 63rd St, New York, NY 10023",DEMOLISHED,1957,EJHA.0804,Yellow Jacket,The Yellow Jacket ,10768,NULL,9510,NULL,J. Harry Benrimo,6506,NULL,"Play, Revival, Broadway",1928,11,8,Thursday Evening - Balcony - $1.00 - I 108/107 - Edward Hopper handwritten play title verso.,NULL
1117,NULL,Comedy Theatre,"110 W 41st St, New York, NY 10018",DEMOLISHED,1942,EJHA.0755,The Call of Life,The Call of Life,8359,NULL,2361,NULL,Arthur Schnitzler,4323,NULL,"Play, Original, Broadway",1925,10,9,Friday Evening - Family Circle - $1.10 - C 22/20 - Edward Hopper handwritten play title verso.,NULL
1117,NULL,Comedy Theatre,"110 W 41st St, New York, NY 10018",DEMOLISHED,1942,EJHA.0808,Exceeding Small,Exceeding Small,10752,NULL,3401,NULL,Caroline Francke,4690,NULL,"Play, Original, Broadway",1928,12,12,Wednesday Evening - Mezzanine - $2.50 - B 6/8 - Edward Hopper handwritten play title verso.,NULL
1117,NULL,Comedy Theatre,"110 W 41st St, New York, NY 10018",DEMOLISHED,1942,EJHA.0828,Ruth Draper,Ruth Draper,13588,NULL,7691,NULL,Ruth Draper,8539,NULL,"Special, Sketches, Original, Broadway",1930,2,25,Tuesday Evening - Mezzanine - $1.50 - G 6/8/10 - Edward Hopper handwritten play title verso.,NULL
1117,NULL,Comedy Theatre,"110 W 41st St, New York, NY 10018",DEMOLISHED,1942,EJHA.0835,NULL,People on the Hill,11172,NULL,7029,NULL,Torvald Liljencrantz,8920,NULL,"Play, Drama, Original, Broadway",1931,1,14,Wednesday Evening - Family Circle - $1.00 - 21 - Edward Hopper handwritten play title verso.,NULL
1120,NULL,Cort Theatre,"138 W 48th St, New York, NY 10036",OPEN,Cort Theatre,EJHA.0795,Behold the Bridegroom,Behold the Bridegroom,10527,NULL,1921,NULL,George Kelly,5828,NULL,"Play, Original, Broadway",1928,1,9,Monday Evening - Second Balcony - $1.10 - Right E 2/1 - Edward Hopper handwritten play title verso.,NULL
1120,NULL,Cort Theatre,"138 W 48th St, New York, NY 10036",OPEN,Cort Theatre,EJHA.0824,Maggie the Magnificent,Maggie the Magnificent,10961,NULL,5720,NULL,George Kelly,5828,NULL,"Play, Comedy, Original, Broadway",1929,11,12,Tuesday Evening - Balcony - $2.00 - Left G 4/5 - Edward Hopper handwritten play title verso.,NULL
1120,NULL,Cort Theatre,"138 W 48th St, New York, NY 10036",OPEN,Cort Theatre,EJHA.0840,Ladies of Creation,Ladies of Creation,11406,NULL,5166,NULL,Gladys Unger,5920,NULL,"Play, Comedy, Original, Broadway",1931,10,5,Monday Evening - Balcony - $2.00 - Left F 12/11 - Edward Hopper handwritten play title verso.,NULL
1251,NULL,Cosmopolitan Theatre,"5 Columbus Cir, New York, NY 10019",OPEN,International Theatre,EJHA.0765,The Two Orphans,The Two Orphans,10038,NULL,8962,NULL,Adolphe D'Ennery,3912,NULL,"Play, Drama, Revival, Broadway",1926,4,19,Monday Evening - Balcony - $1.65 - J 8/6 - Edward Hopper handwritten play title verso.,NULL
1147,NULL,Ethel Barrymore Theatre,"243 W 47th St, New York, NY 10036",OPEN,Ethel Barrymore Theatre,EJHA.0874,Macbeth,Macbeth,11997,NULL,5681,NULL,William Shakespeare,8638,NULL,"Play, Tragedy, Revival, Broadway",1935,10,12,Saturday Evening - Balcony - $2.20 - A 19/21 - Edward Hopper handwritten play title verso.,NULL
1158,NULL,Forrest Theatre,"230 W 49th St, New York, NY 10019",OPEN,Eugene O'Neill Theatre,EJHA.0864,The Jooss Ballet,The Jooss Ballet,11868,NULL,4934,NULL,NULL,NULL,NULL,"Musical, Ballet, Original, Broadway",1933,11,30,Thursday Matinee - Orchestra - $2.20 - H 105/106/107/108.,NULL
1158,NULL,Forrest Theatre,"230 W 49th St, New York, NY 10019",OPEN,Eugene O'Neill Theatre,EJHA.0872,Tobacco Road,Tobacco Road,1065,NULL,8766,NULL,Jack Kirkland,6543,NULL,"Play, Drama, Original, Broadway",1935,2,6,Wednesday Evening - Orchestra - $2.20 - Right P 2/4 - Edward Hopper handwritten play title verso.,NULL
1154,NULL,Fulton Theatre,"210 W 46th St, New York, NY 10036",DEMOLISHED,1982,EJHA.0826,Waterloo Bridge,Waterloo Bridge,11024,NULL,9185,NULL,Robert Emmet Sherwood,13527,NULL,"Play, Drama, Original, Broadway",1930,2,4,Tuesday Evening - Balcony - $1.00 - A 4/2 - Edward Hopper handwritten play title verso.,NULL
1164,NULL,Gaiety Theatre,"1547 Broadway, New York, NY 10036",DEMOLISHED,1982,EJHA.0771,Sandalwood,Sandalwood,10128,NULL,7738,NULL,Owen Davis,7980,NULL,"Play, Drama, Original, Broadway",1926,10,11,Monday Evening - Second Balcony - $1.10 - C 16 - Edward Hopper handwritten play title verso.,NULL
1491,NULL,Garrick Theatre,"67 W 35th St, New York, NY 10001",DEMOLISHED,1932,EJHA.0800,12 Thousand,"12,000",10603,NULL,1010,NULL,Bruno Frank,4614,NULL,"Play, Original, Broadway",1928,3,27,Tuesday Evening - Balcony - $1.10 - H 12/14 - Edward Hopper handwritten play title verso.,NULL
1176,NULL,Greenwich Village Theatre,"7th Ave South and Christopher St, New York, NY 10014",DEMOLISHED,n.d.,EJHA.0754,NULL,Love for Love,9764,NULL,5609,NULL,William Congreve,9112,NULL,"Play, Comedy, Revival, Broadway",1925,3,23,Monday Evening - Orchestra - $2.75 - B 5.,Missing ticket!?
1176,NULL,Greenwich Village Theatre,"7th Ave South and Christopher St, New York, NY 10014",DEMOLISHED,n.d.,EJHA.0775,The Witch,The Witch,10158,NULL,9420,NULL,Hans Wiers-Jenssen,6025,NULL,"Play, Drama, Revival, Broadway",1926,12,6,Monday Evening - Mezzanine - $1.65 - F 6/8 - Edward Hopper handwritten play title verso.,NULL
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0758,The Glass Slipper,The Glass Slipper,6927,NULL,3933,NULL,Ferenc Molnár,5523,NULL,"Play, Original, Broadway",1925,11,9,Monday Evening - Balcony - $1.10 - M 8/6 - Edward Hopper handwritten play title verso.,NULL
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0762,Goat Song,The Goat Song,9669,NULL,3950,NULL,Franz Werfel,5650,NULL,"Play, Original, Broadway",1926,3,1,Monday Evening - Balcony - $1.65 - K 14/16 - J 12 - Edward Hopper handwritten play title verso.,NULL
1179,NULL,Guild Theatre,"245 W 52nd St, New York, NY 10019",OPEN,August Wilson Theatre,EJHA.0763,The Chief Thing,The Chief Thing,10031,NULL,2534,NULL,Nikolai Evreinov,7891,NULL,"Play, Comedy, Drama, Original, Broadway",1926,4,5,Monday Evening - Balcony - $1.65 - K 2/4 - Edward Hopper handwritten play title verso.,NULL
